x_m_local,y_m_local,z_m_terrain,height_m,crown_radius_m,asset_type,scale,yaw_degrees
1879.0,543.0,2.41,47.23,8.0,large_tree,2.5,232.138
1946.0,137.0,2.47,47.23,8.0,large_tree,2.5,7.872
1874.0,546.0,2.37,47.18,8.0,large_tree,2.5,62.532
1680.0,1636.0,3.88,47.11,8.0,large_tree,2.5,216.79
1898.0,524.0,2.68,46.925,8.0,large_tree,2.5,47.54
1898.0,522.0,2.595,46.925,8.0,large_tree,2.5,349.253
1951.0,122.0,2.94,46.85,8.0,large_tree,2.5,327.476
767.0,1367.0,2.64,46.82,8.0,large_tree,2.5,141.752
458.0,1912.0,4.32,46.74,8.0,large_tree,2.5,49.918
455.0,1895.0,3.35,46.71,8.0,large_tree,2.5,341.118
1875.0,594.0,2.335,46.605,8.0,large_tree,2.5,182.972
462.0,1898.0,3.79,46.57,8.0,large_tree,2.5,241.239
1866.0,527.0,2.36,46.53,8.0,large_tree,2.5,191.82
1870.0,46.0,3.37,46.38,8.0,large_tree,2.5,99.516
715.0,1905.0,3.71,46.32,8.0,large_tree,2.5,100.224
1865.0,46.0,2.93,46.16,8.0,large_tree,2.5,149.637
1586.0,78.0,2.225,46.135,8.0,large_tree,2.5,90.31
1415.0,1464.0,3.69,46.12,8.0,large_tree,2.5,183.42
1338.0,9.0,0.96,46.06,8.0,large_tree,2.5,102.43
0.0,1576.0,3.46,46.05,8.0,large_tree,2.5,190.95
1879.0,27.0,2.69,46.04,8.0,large_tree,2.5,68.627
309.0,1796.0,4.88,45.74,8.0,large_tree,2.5,82.161
1801.0,1623.0,3.92,45.68,8.0,large_tree,2.5,257.126
1931.0,133.0,2.08,45.63,8.0,large_tree,2.5,219.888
1856.0,522.0,2.36,45.63,8.0,large_tree,2.5,312.806
1689.0,236.0,2.58,45.6,8.0,large_tree,2.5,159.483
1029.0,1264.0,2.62,45.56,8.0,large_tree,2.5,217.085
1026.0,1262.0,2.69,45.56,8.0,large_tree,2.5,353.522
1997.0,1081.0,3.14,45.55,8.0,large_tree,2.5,220.126
1691.0,2014.0,7.46,45.48,8.0,large_tree,2.5,28.994
1865.0,536.0,2.345,45.475,8.0,large_tree,2.5,233.973
1909.0,611.0,2.77,45.43,8.0,large_tree,2.5,354.531
1435.0,1460.0,3.71,45.37,8.0,large_tree,2.5,126.8
1862.0,513.0,2.33,45.33,8.0,large_tree,2.5,305.156
1021.0,1265.0,2.6,45.32,8.0,large_tree,2.5,113.744
439.0,1909.0,4.17,45.15,8.0,large_tree,2.5,137.652
1858.0,535.0,2.345,45.03,8.0,large_tree,2.5,39.434
478.0,1897.0,3.23,44.98,8.0,large_tree,2.5,222.255
914.0,1.0,1.515,44.975,8.0,large_tree,2.5,345.031
1952.0,114.0,2.75,44.96,8.0,large_tree,2.5,55.382
1872.0,54.0,2.76,44.91,8.0,large_tree,2.5,353.297
905.0,2.0,0.99,44.89,8.0,large_tree,2.5,282.845
1673.0,225.0,1.88,44.78,8.0,large_tree,2.5,35.33
1857.0,541.0,2.37,44.73,8.0,large_tree,2.5,17.683
1031.0,1272.0,2.54,44.7,8.0,large_tree,2.5,141.665
1149.0,62.0,1.26,44.66,8.0,large_tree,2.5,250.873
1911.0,538.0,2.63,44.64,8.0,large_tree,2.5,290.558
1408.0,1543.0,4.14,44.56,8.0,large_tree,2.5,29.92
1663.0,753.0,2.12,44.53,8.0,large_tree,2.5,117.106
1040.0,1275.0,2.37,44.46,8.0,large_tree,2.5,113.071
1023.0,1271.0,2.535,44.44,8.0,large_tree,2.5,63.258
1904.0,517.0,2.713,44.267,8.0,large_tree,2.5,342.432
1962.0,123.0,2.81,44.24,8.0,large_tree,2.5,169.115
779.0,1689.0,2.42,44.19,8.0,large_tree,2.5,176.951
468.0,1909.0,4.59,44.16,8.0,large_tree,2.5,97.647
1916.0,573.0,2.49,44.1,8.0,large_tree,2.5,269.09
1910.0,520.0,2.71,44.0,8.0,large_tree,2.5,335.849
1831.0,529.0,2.535,43.995,8.0,large_tree,2.5,242.682
1886.0,24.0,2.75,43.97,8.0,large_tree,2.5,322.053
1920.0,579.0,2.52,43.8,8.0,large_tree,2.5,101.111
23.0,1386.0,2.97,43.76,8.0,large_tree,2.5,222.457
774.0,1685.0,1.99,43.73,8.0,large_tree,2.5,86.525
1871.0,512.0,2.33,43.62,8.0,large_tree,2.5,19.418
1682.0,573.0,2.22,43.6,8.0,large_tree,2.5,323.226
305.0,1786.0,5.01,43.56,8.0,large_tree,2.5,178.697
1496.0,443.0,3.3,43.32,8.0,large_tree,2.5,350.51
1496.0,431.0,3.17,43.3,8.0,large_tree,2.5,18.817
1963.0,136.0,2.59,43.255,8.0,large_tree,2.5,214.606
1687.0,581.0,2.08,43.22,8.0,large_tree,2.5,311.839
1698.0,247.0,2.415,43.125,8.0,large_tree,2.5,175.341
64.0,1017.0,2.75,42.99,8.0,large_tree,2.5,292.594
1963.0,112.0,2.795,42.98,8.0,large_tree,2.5,152.142
1811.0,1618.0,3.93,42.94,8.0,large_tree,2.5,184.191
1885.0,54.0,2.7,42.94,8.0,large_tree,2.5,341.415
1693.0,226.0,2.54,42.9,8.0,large_tree,2.5,33.367
1823.0,523.0,2.53,42.75,8.0,large_tree,2.5,353.909
155.0,1893.0,4.53,42.73,8.0,large_tree,2.5,265.862
1882.0,626.0,2.21,42.72,8.0,large_tree,2.5,133.042
1861.0,546.0,2.37,42.68,8.0,large_tree,2.5,267.908
1701.0,235.0,2.57,42.6,8.0,large_tree,2.5,13.346
1588.0,141.0,2.08,42.48,8.0,large_tree,2.5,158.223
1011.0,1259.0,2.54,42.43,8.0,large_tree,2.5,7.415
1838.0,528.0,2.535,42.375,8.0,large_tree,2.5,84.391
1692.0,202.0,1.89,42.32,8.0,large_tree,2.5,202.209
524.0,296.0,2.8,42.27,8.0,large_tree,2.5,280.657
471.0,1901.0,3.71,42.22,8.0,large_tree,2.5,38.926
1822.0,531.0,2.57,42.2,8.0,large_tree,2.5,131.264
1686.0,209.0,2.31,42.14,8.0,large_tree,2.5,215.675
1676.0,1664.0,4.61,42.11,8.0,large_tree,2.5,7.165
917.0,1274.0,3.17,42.1,8.0,large_tree,2.5,321.245
1965.0,1630.0,3.67,42.06,8.0,large_tree,2.5,256.771
1977.0,32.0,2.93,42.02,8.0,large_tree,2.5,269.723
919.0,1269.0,2.945,42.005,8.0,large_tree,2.5,276.882
1593.0,136.0,2.07,41.98,8.0,large_tree,2.5,66.643
1968.0,136.0,2.48,41.92,8.0,large_tree,2.5,108.183
1989.0,37.0,3.13,41.91,8.0,large_tree,2.5,328.415
505.0,296.0,2.77,41.88,8.0,large_tree,2.5,3.92
352.0,1528.0,3.14,41.78,8.0,large_tree,2.5,288.228
1991.0,29.0,2.905,41.755,8.0,large_tree,2.5,153.189
365.0,1718.0,3.74,41.73,8.0,large_tree,2.5,257.193
1675.0,206.0,2.2,41.71,8.0,large_tree,2.5,331.61
1591.0,148.0,2.03,41.68,8.0,large_tree,2.5,338.469
1593.0,148.0,2.15,41.68,8.0,large_tree,2.5,64.154
1841.0,535.0,2.555,41.625,8.0,large_tree,2.5,50.99
1870.0,556.0,2.2,41.62,8.0,large_tree,2.5,145.519
1812.0,525.0,2.485,41.535,8.0,large_tree,2.5,271.211
1680.0,234.0,2.39,41.49,8.0,large_tree,2.5,255.12
1694.0,215.0,1.89,41.48,8.0,large_tree,2.5,314.814
1864.0,25.0,2.66,41.45,8.0,large_tree,2.5,110.326
1928.0,886.0,2.78,41.41,8.0,large_tree,2.5,234.322
159.0,1909.0,4.71,41.36,8.0,large_tree,2.5,262.421
68.0,1025.0,3.28,41.35,8.0,large_tree,2.5,199.501
1983.0,32.0,3.13,41.28,8.0,large_tree,2.5,343.807
1857.0,506.0,2.36,41.2,8.0,large_tree,2.5,223.391
363.0,1713.0,3.74,41.16,8.0,large_tree,2.5,139.309
1611.0,1681.0,4.48,41.16,8.0,large_tree,2.5,196.838
926.0,1277.0,2.71,41.13,8.0,large_tree,2.5,79.856
171.0,1130.0,2.91,41.13,8.0,large_tree,2.5,43.946
1876.0,98.0,2.71,41.13,8.0,large_tree,2.5,175.424
1813.0,514.0,1.96,41.09,8.0,large_tree,2.5,119.603
315.0,1777.0,3.945,41.06,8.0,large_tree,2.5,124.899
1819.0,514.0,1.96,41.04,8.0,large_tree,2.5,113.706
1669.0,1639.0,4.19,41.01,8.0,large_tree,2.5,242.543
171.0,647.0,3.22,40.87,8.0,large_tree,2.5,237.81
1670.0,1661.0,4.54,40.82,8.0,large_tree,2.5,180.092
376.0,225.0,2.52,40.78,8.0,large_tree,2.5,249.819
36.0,1399.0,2.17,40.69,8.0,large_tree,2.5,26.107
110.0,71.0,2.47,40.67,8.0,large_tree,2.5,133.34
1609.0,1675.0,3.795,40.65,8.0,large_tree,2.5,20.794
1669.0,210.0,1.95,40.58,8.0,large_tree,2.5,341.89
1667.0,1648.0,4.25,40.48,8.0,large_tree,2.5,65.711
1993.0,569.0,2.91,40.46,8.0,large_tree,2.5,303.571
1834.0,543.0,2.535,40.425,8.0,large_tree,2.5,236.886
226.0,323.0,3.0,40.42,8.0,large_tree,2.5,153.845
1705.0,216.0,2.43,40.42,8.0,large_tree,2.5,209.38
812.0,1690.0,3.26,40.325,8.0,large_tree,2.5,326.076
718.0,1910.0,5.22,40.32,8.0,large_tree,2.5,325.679
1440.0,271.0,2.85,40.31,8.0,large_tree,2.5,173.967
1657.0,1659.0,3.91,40.24,8.0,large_tree,2.5,91.15
1110.0,33.0,1.5,40.21,8.0,large_tree,2.5,173.214
1664.0,1664.0,3.94,40.19,8.0,large_tree,2.5,140.025
1870.0,17.0,2.8,40.18,8.0,large_tree,2.5,103.418
1922.0,880.0,2.675,40.11,8.0,large_tree,2.5,86.217
233.0,321.0,2.98,40.02,8.0,large_tree,2.5,22.522
279.0,1594.0,5.06,40.01,8.0,large_tree,2.5,313.644
1669.0,760.0,2.09,40.01,8.0,large_tree,2.5,299.067
1684.0,252.0,2.385,39.885,8.0,large_tree,2.493,139.748
1988.0,47.0,3.03,39.86,8.0,large_tree,2.491,54.702
85.0,251.0,1.61,39.84,8.0,large_tree,2.49,78.344
1355.0,2.0,1.94,39.81,8.0,large_tree,2.488,180.204
1683.0,1652.0,4.55,39.77,8.0,large_tree,2.486,23.211
1726.0,218.0,2.86,39.77,8.0,large_tree,2.486,212.02
70.0,246.0,1.49,39.76,8.0,large_tree,2.485,349.83
42.0,1396.0,2.02,39.73,8.0,large_tree,2.483,24.141
1592.0,123.0,2.2,39.69,8.0,large_tree,2.481,67.297
363.0,223.0,2.23,39.65,8.0,large_tree,2.478,148.311
1136.0,445.0,3.26,39.64,8.0,large_tree,2.478,178.457
790.0,1655.0,2.72,39.64,8.0,large_tree,2.477,98.564
73.0,236.0,2.48,39.6,8.0,large_tree,2.475,90.77
1668.0,51.0,1.59,39.58,8.0,large_tree,2.474,19.505
1360.0,1.0,2.09,39.56,8.0,large_tree,2.472,26.903
282.0,1840.0,4.92,39.53,8.0,large_tree,2.471,47.701
2010.0,575.0,3.28,39.52,8.0,large_tree,2.47,231.062
915.0,1286.0,2.19,39.51,8.0,large_tree,2.469,4.532
173.0,144.0,1.82,39.5,8.0,large_tree,2.469,188.529
367.0,230.0,2.47,39.45,8.0,large_tree,2.466,358.353
360.0,1423.0,2.97,39.44,8.0,large_tree,2.465,9.346
1845.0,505.0,2.32,39.39,8.0,large_tree,2.462,104.936
